names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
STMN1,69.977165,,0.0,0.0,1.0,1.0
SOD2,-38.346256,,0.0,0.0,1.0,1.0
TCF4,-38.56013,,0.0,0.0,1.0,1.0
DOCK4,-38.950665,,0.0,0.0,1.0,1.0
CREM,-39.487427,,0.0,0.0,1.0,1.0
HLA-DRB1,-39.768852,,0.0,0.0,1.0,1.0
SPARCL1,-40.091053,,0.0,0.0,1.0,1.0
SOCS3,-41.184044,,0.0,0.0,1.0,1.0
NFKB1,-38.173637,,0.0,0.0,1.0,1.0
JUN,-41.59835,,0.0,0.0,1.0,1.0
ATF3,-41.788292,,0.0,0.0,1.0,1.0
GADD45B,-43.91277,,0.0,0.0,1.0,1.0
DUSP1,-45.6979,,0.0,0.0,1.0,1.0
NAMPT,-46.694542,,0.0,0.0,1.0,1.0
NFKBIA,-47.645325,,0.0,0.0,1.0,1.0
SAT1,-47.839867,,0.0,0.0,1.0,1.0
SIK3,-47.908512,,0.0,0.0,1.0,1.0
IFITM2,-41.65421,,0.0,0.0,1.0,1.0
ZFP36,-53.021095,,0.0,0.0,1.0,1.0
NEAT1,-60.204197,,0.0,0.0,1.0,1.0
CISD1,65.62787,,0.0,0.0,1.0,1.0
LSAMP,37.918602,,0.0,0.0,1.0,1.0
TRDC,39.94466,,0.0,0.0,1.0,1.0
CTNNBL1,40.046345,,0.0,0.0,1.0,1.0
LRRIQ3,40.977654,,0.0,0.0,1.0,1.0
DKK4,46.876728,,0.0,0.0,1.0,1.0
RBP1,61.54046,,0.0,0.0,1.0,1.0
DKK3,49.92493,,0.0,0.0,1.0,1.0
SMPX,50.41912,,0.0,0.0,1.0,1.0
MUCL1,53.475254,,0.0,0.0,1.0,1.0
AC104126.1,56.473316,,0.0,0.0,1.0,1.0
CCN3,59.013996,,0.0,0.0,1.0,1.0
PEBP1,47.400272,,0.0,0.0,1.0,1.0
REL,-37.0054,,9.37486292512593e-300,9.341775173625485e-298,1.0,1.0
PLCB1,-36.943775,,9.168582684388563e-299,8.875188038488129e-297,1.0,1.0
CTSL,-36.90769,,3.478706303816528e-298,3.273849154813999e-296,1.0,1.0
NRIP1,-36.757458,,8.836795186368716e-296,8.091638403085732e-294,1.0,1.0
PITPNC1,-36.18499,,1.0485484469275532e-286,9.348637205764607e-285,1.0,1.0
ATP2B1,-36.179592,,1.2747989981940636e-286,1.107440770738843e-284,1.0,1.0
CD55,-35.863117,,1.1486401617344472e-281,9.728982169890767e-280,1.0,1.0
C11orf96,-35.57544,,3.3596917658957815e-277,2.7762526104524166e-275,1.0,1.0
RNASE1,35.5416,,1.1202279841229167e-276,9.036505738591528e-275,1.0,1.0
FABP5,-35.369606,,5.009773850658426e-274,3.94723576884436e-272,1.0,1.0
A2M,-35.287037,,9.28289591315808e-273,7.147829853131722e-271,1.0,1.0
CALD1,-35.032864,,7.111272774400458e-269,5.3539982577041675e-267,1.0,1.0
PALM2-AKAP2,-34.52824,,3.02420033762478e-261,2.227389292146251e-259,1.0,1.0
HLA-DPA1,-34.499447,,8.17586191451761e-261,5.89357875880546e-259,1.0,1.0
ANXA1,-34.34222,,1.8401701639721634e-258,1.2988534407370186e-256,1.0,1.0
HLA-DPB1,-34.302807,,7.126335309767361e-258,4.927351842753432e-256,1.0,1.0
TGFBR2,-34.259098,,3.192696805668782e-257,2.1633713555211665e-255,1.0,1.0
