names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CALD1,92.177864,,0.0,0.0,1.0,1.0
SYNPO2,40.954308,,0.0,0.0,1.0,1.0
COL5A2,41.172924,,0.0,0.0,1.0,1.0
FABP5,41.267944,,0.0,0.0,1.0,1.0
MAPK10,41.322887,,0.0,0.0,1.0,1.0
FILIP1L,41.684525,,0.0,0.0,1.0,1.0
SLC35F1,41.770767,,0.0,0.0,1.0,1.0
PTN,42.01741,,0.0,0.0,1.0,1.0
ADAMTS4,42.077835,,0.0,0.0,1.0,1.0
DENND2A,42.29493,,0.0,0.0,1.0,1.0
DMD,43.02374,,0.0,0.0,1.0,1.0
CSRP2,43.328423,,0.0,0.0,1.0,1.0
CCDC102B,43.40873,,0.0,0.0,1.0,1.0
PDZRN4,43.439888,,0.0,0.0,1.0,1.0
FHL2,40.830643,,0.0,0.0,1.0,1.0
PPP1R14A,43.443115,,0.0,0.0,1.0,1.0
TBX2,43.707764,,0.0,0.0,1.0,1.0
ZFP36,43.840176,,0.0,0.0,1.0,1.0
ABCC9,44.102734,,0.0,0.0,1.0,1.0
CACNA2D1,44.226948,,0.0,0.0,1.0,1.0
AKAP12,44.873547,,0.0,0.0,1.0,1.0
MGP,45.260803,,0.0,0.0,1.0,1.0
MT1E,46.88662,,0.0,0.0,1.0,1.0
IMPA2,47.280277,,0.0,0.0,1.0,1.0
COL4A2,47.287033,,0.0,0.0,1.0,1.0
PTPRK,47.489704,,0.0,0.0,1.0,1.0
IGFBP4,47.78193,,0.0,0.0,1.0,1.0
RNF152,48.845867,,0.0,0.0,1.0,1.0
CAV1,48.88953,,0.0,0.0,1.0,1.0
A2M,43.520786,,0.0,0.0,1.0,1.0
SLC7A2,40.380928,,0.0,0.0,1.0,1.0
SLC12A2,40.374363,,0.0,0.0,1.0,1.0
CTNNA3,40.110847,,0.0,0.0,1.0,1.0
PDE4D,-52.596268,,0.0,0.0,1.0,1.0
ST6GALNAC3,-51.92191,,0.0,0.0,1.0,1.0
RNASE1,-50.5046,,0.0,0.0,1.0,1.0
ITPR2,-50.49092,,0.0,0.0,1.0,1.0
CCN3,-48.697277,,0.0,0.0,1.0,1.0
HLA-DPA1,-47.863663,,0.0,0.0,1.0,1.0
TANK,-46.489315,,0.0,0.0,1.0,1.0
LSAMP,-46.177982,,0.0,0.0,1.0,1.0
SAT1,-45.062687,,0.0,0.0,1.0,1.0
VCAN,-44.186054,,0.0,0.0,1.0,1.0
CTSS,-43.78249,,0.0,0.0,1.0,1.0
PTPRC,-42.797485,,0.0,0.0,1.0,1.0
RBFOX1,-42.164055,,0.0,0.0,1.0,1.0
IFI30,-42.038094,,0.0,0.0,1.0,1.0
S100A4,-41.549133,,0.0,0.0,1.0,1.0
HLA-DQB1,-39.57581,,0.0,0.0,1.0,1.0
TYROBP,-39.270256,,0.0,0.0,1.0,1.0
