names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
C1QC,67.693504,,0.0,0.0,1.0,1.0
MSR1,46.48027,,0.0,0.0,1.0,1.0
CCL4,46.04586,,0.0,0.0,1.0,1.0
RBM47,44.499172,,0.0,0.0,1.0,1.0
CPVL,43.661964,,0.0,0.0,1.0,1.0
CTSL,43.580585,,0.0,0.0,1.0,1.0
FCGR2A,43.3018,,0.0,0.0,1.0,1.0
IER3,42.48573,,0.0,0.0,1.0,1.0
APOC1,42.476894,,0.0,0.0,1.0,1.0
FPR3,42.473785,,0.0,0.0,1.0,1.0
IFI30,42.185127,,0.0,0.0,1.0,1.0
CCL3L1,42.15699,,0.0,0.0,1.0,1.0
CTSD,42.00928,,0.0,0.0,1.0,1.0
SGK1,41.030743,,0.0,0.0,1.0,1.0
RASGEF1B,40.749176,,0.0,0.0,1.0,1.0
CCL4L2,39.59701,,0.0,0.0,1.0,1.0
SAT1,39.531677,,0.0,0.0,1.0,1.0
ABCA1,38.502472,,0.0,0.0,1.0,1.0
MS4A4A,47.091568,,0.0,0.0,1.0,1.0
HMOX1,47.110653,,0.0,0.0,1.0,1.0
CTSS,39.89484,,0.0,0.0,1.0,1.0
CD68,47.511322,,0.0,0.0,1.0,1.0
C1QA,65.66784,,0.0,0.0,1.0,1.0
C1QB,64.23716,,0.0,0.0,1.0,1.0
HLA-DRB1,61.303505,,0.0,0.0,1.0,1.0
FCER1G,47.159515,,0.0,0.0,1.0,1.0
HLA-DPA1,60.43719,,0.0,0.0,1.0,1.0
APOE,57.347336,,0.0,0.0,1.0,1.0
HLA-DQA1,57.339466,,0.0,0.0,1.0,1.0
LGMN,54.10739,,0.0,0.0,1.0,1.0
CD83,53.558586,,0.0,0.0,1.0,1.0
HLA-DPB1,57.08941,,0.0,0.0,1.0,1.0
TYROBP,52.98065,,0.0,0.0,1.0,1.0
MS4A7,52.51096,,0.0,0.0,1.0,1.0
CCL3,51.330063,,0.0,0.0,1.0,1.0
SELENOP,50.45691,,0.0,0.0,1.0,1.0
CST3,49.86237,,0.0,0.0,1.0,1.0
CD14,48.58478,,0.0,0.0,1.0,1.0
AIF1,48.05095,,0.0,0.0,1.0,1.0
MS4A6A,47.826782,,0.0,0.0,1.0,1.0
HLA-DQB1,53.50855,,0.0,0.0,1.0,1.0
LIPA,37.28847,,2.523499271996444e-304,2.0356227460771315e-302,1.0,1.0
MRC1,37.15772,,3.290168529659238e-302,2.5923467391826736e-300,1.0,1.0
IGSF6,36.394466,,5.207526586592737e-290,4.009795471676407e-288,1.0,1.0
FOLR2,36.08215,,4.321872188581042e-285,3.253889549980571e-283,1.0,1.0
NFKBIA,36.059128,,9.921645000629196e-285,7.3075072308982e-283,1.0,1.0
SOD2,35.93754,,7.923812476887912e-283,5.711888653552393e-281,1.0,1.0
CTSC,35.459427,,2.075874816554036e-275,1.465221641351057e-273,1.0,1.0
ARL4C,35.240295,,4.8311444941342776e-272,3.3403913359442717e-270,1.0,1.0
FRMD4B,34.745888,,1.59910580698186e-264,1.0835540948109083e-262,1.0,1.0
