names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
TM4SF1,77.64828,,0.0,0.0,1.0,1.0
RAPGEF5,41.85613,,0.0,0.0,1.0,1.0
DIPK2B,41.930218,,0.0,0.0,1.0,1.0
HYAL2,42.150303,,0.0,0.0,1.0,1.0
KDR,42.15265,,0.0,0.0,1.0,1.0
IL33,42.549355,,0.0,0.0,1.0,1.0
TANC1,42.55865,,0.0,0.0,1.0,1.0
PDE10A,42.92287,,0.0,0.0,1.0,1.0
NOSTRIN,43.00666,,0.0,0.0,1.0,1.0
PIK3R3,43.01461,,0.0,0.0,1.0,1.0
ID3,43.130653,,0.0,0.0,1.0,1.0
GJA1,43.330986,,0.0,0.0,1.0,1.0
ADAMTS1,43.523636,,0.0,0.0,1.0,1.0
SLCO2A1,43.862427,,0.0,0.0,1.0,1.0
PLPP1,44.045517,,0.0,0.0,1.0,1.0
MGP,44.239475,,0.0,0.0,1.0,1.0
RHOJ,44.378784,,0.0,0.0,1.0,1.0
TCIM,44.89621,,0.0,0.0,1.0,1.0
CADPS2,45.437088,,0.0,0.0,1.0,1.0
ANO2,45.77315,,0.0,0.0,1.0,1.0
NRP1,46.404858,,0.0,0.0,1.0,1.0
CD34,46.441933,,0.0,0.0,1.0,1.0
COL4A1,46.46305,,0.0,0.0,1.0,1.0
PKP4,47.025867,,0.0,0.0,1.0,1.0
WARS,47.14069,,0.0,0.0,1.0,1.0
RAI14,48.940212,,0.0,0.0,1.0,1.0
ADAMTS9,49.25295,,0.0,0.0,1.0,1.0
EFNB2,49.368427,,0.0,0.0,1.0,1.0
PRKCH,41.82421,,0.0,0.0,1.0,1.0
GRB10,50.02238,,0.0,0.0,1.0,1.0
ARRDC3,41.26004,,0.0,0.0,1.0,1.0
THBD,40.93099,,0.0,0.0,1.0,1.0
LMCD1,37.678604,,0.0,0.0,1.0,1.0
FAM167B,37.695183,,0.0,0.0,1.0,1.0
NDRG1,37.72182,,0.0,0.0,1.0,1.0
EFNA1,37.798283,,0.0,0.0,1.0,1.0
C11orf96,37.932537,,0.0,0.0,1.0,1.0
PLK2,38.06037,,0.0,0.0,1.0,1.0
DLC1,38.250134,,0.0,0.0,1.0,1.0
CCL14,38.35355,,0.0,0.0,1.0,1.0
RBP5,38.487537,,0.0,0.0,1.0,1.0
IFITM2,38.532898,,0.0,0.0,1.0,1.0
CSGALNACT1,38.59321,,0.0,0.0,1.0,1.0
RASGRF2,38.673187,,0.0,0.0,1.0,1.0
COL4A2,38.718483,,0.0,0.0,1.0,1.0
ABLIM1,38.71876,,0.0,0.0,1.0,1.0
SMAD1,38.770092,,0.0,0.0,1.0,1.0
NNMT,38.911324,,0.0,0.0,1.0,1.0
FAM110D,38.97319,,0.0,0.0,1.0,1.0
TMTC1,38.97439,,0.0,0.0,1.0,1.0
